92,PAVO AHUMADO EN PIEZAS F001,12.31,70,00464,0,0,0,0
93,PATAS DE RES BN KG,3.52,66,00139,0,0,0,0
94,HIGADO DE RES BN KG,5.72,66,00136,0,0,0,0
96,CACHEMA LIMPIA KG,6.60,70,02259,0,0,0,0
97,FILETE DE CORVINA PLATEADA ,18.59,70,00471,0,0,0,0
98,LANGOSTINO N 7 X KILO,20.02,70,00472,0,0,0,0
99,ACHOTILLO KG,1.50,70,00480,0,0,0,0
100,UVA VERDE SIN SEMILLA DEL S,7.49,70,00481,0,0,0,0
101,GROSELLA CHINA KG,0.72,70,00482,0,0,0,0
102,JENGIBRE KG,1.00,70,00483,0,0,0,0
103,PIMIENTO ROJO "KARINTIA" KI,1.70,70,00490,0,0,0,0
104,ZUQUINI AMARILLO KARINTIA R,2.04,70,00492,0,0,0,0
105,PAPA NABO KARINTIA KG,1.02,70,00494,0,0,0,0
106,CHORIZO TERNERA AL GRANEL F,5.83,66,00213,0,0,0,0
107,PERA FORELLE KG,2.06,70,00497,0,0,0,0
108,CUERO DE CHANCHO EMBUANDES,3.73,70,00817,0,0,0,0
109,PULPA DE CERDO[7000726],8.53,70,00726,0,0,0,0
110,QUESO HIERBAS AL PESO KIOSK,12.99,70,00498,0,0,0,0
111,QUESO HOLANDES AL PESO X2.6,14.49,70,00499,0,0,0,0
112,QUESO PIZZA MOZARELLA LONJA,12.66,70,00649,0,0,0,0
113,QUESO SEMIMADURO JAVIERINO ,12.99,70,00650,0,0,0,0
114,10O PEPA KG,2.29,70,00549,0,0,0,0
116,1IMIENTO ROJO KG,3.07,70,00606,0,0,0,0
120,SALON DE RES EN BANDEJA F00,8.45,70,00814,0,0,0,0
123,COSTILLA DE RES EN BANDEJA ,5.61,70,00780,0,0,0,0
124,ALAS CON ESPALDILLAS,2.41,70,00760,0,0,0,0
125,MANGO DE CHUPAR KG,1.86,70,00625,0,0,0,0
126,MORTADELA MR POLLO 2.5KG,7.57,70,00406,0,0,0,0
127,REINA CLAUDIA ROJA KG,3.60,70,00629,0,0,0,0
128,UVILLA KG,3.46,70,00634,0,0,0,0
129,POLLO VACIO MR. POLLO,3.80,70,00628,0,0,0,0
130,MANZANA FUJI DEL SUR GRANEL,2.15,70,00641,0,0,0,0
131,PULPA PRIETA NEGRA RES F009,7.91,70,00179,0,0,0,0
132,RABO OSOBUCO RES F009809,3.66,70,00180,0,0,0,0
133,PITAHAYA KG,2.50,70,00675,0,0,0,0
134,LOMO FALDA DE RES EN BANDEJ,7.94,70,00775,0,0,0,0
135,NARANJA AMERICANA KG,2.29,70,00691,0,0,0,0
138,PERA CAFE KG,1.90,70,00699,0,0,0,0
139,COL DE BRUSELA KG,3.24,70,00730,0,0,0,0
140,ESPARRAGO VERDE KG,3.54,70,00735,0,0,0,0
141,HUESO CARNUDO DE CERDO EN B,4.11,70,00785,0,0,0,0
142,PIMIENTO MORRON NARANJA,2.21,70,00740,0,0,0,0
144,PATAS DE RES EN BANDEJA,2.78,70,00788,0,0,0,0
151,LOMO DE CERDO PARA ASADO F0,8.20,70,00929,0,0,0,0
152,MORTADELA PREMIUM GOURMET K,5.13,70,00947,0,0,0,0
153,DELIGOMIS NAVIDENO LA PERLA,4.67,70,00660,0,0,0,0
154,CARAMELO BOMBON EXOTICS GRA,8.71,70,00659,0,0,0,0
155,DELIGOMIS BRILLAN/NAVIDEN G,4.71,70,00939,0,0,0,0
156,DELIGOMIS CARAMELO/GOMA GRA,7.61,70,00909,0,0,0,0
157,GOMAS GUMMIES GUSANITOS GRA,4.51,70,00931,0,0,0,0
158,CARAMELO MELO SURTIDO GRANE,3.13,70,00357,0,0,0,0
159,CHUPETE PLOP SUTIDO 2.5KG,3.78,70,00530,0,0,0,0
160,CHOCOTIN CRISPY/MANI CRISPI,8.87,70,00809,0,0,0,0
161,CARAMELO AMERIC/TOFFEE/SURT,5.79,70,00654,0,0,0,0
162,CHOCOLATE SURTIDO LEC/NAR G,8.81,70,00657,0,0,0,0
163,CARAMELO AMERICAN MILK CREA,3.91,70,00655,0,0,0,0
164,CARAMELO SURTIDO DURO GRANE,3.00,70,00083,0,0,0,0
165,CARAMELO TOFFE SURTIDO GRAN,2.87,70,00084,0,0,0,0
166,CARAMELO TOFFEE CREAM 10KL,4.38,70,00908,0,0,0,0
168,CARAMELO TOFFE YOGURT GRANE,4.00,70,00116,0,0,0,0
169,CHOCOLATE NOGGY GRANEL,10.71,70,00907,0,0,0,0
170,GALLETAS JUNGLITAS GRANEL M,2.68,70,00098,0,0,0,0
173,GALLETA TOQUE NAVID/VAINIL/,2.37,70,00658,0,0,0,0
174,CARAMELO EXTRASURTIFRUTAS G,2.83,70,00669,0,0,0,0
175,CARAMELO MIX SURTIDO RELLEN,3.37,70,00804,0,0,0,0
176,CARAMELO SJURTIFRUTAS RELLE,3.55,70,00339,0,0,0,0
177,PANZA DE RES BN,6.29,66,00086,0,0,0,0
179,CARAMELO FRESA RELLENO GRAN,3.55,70,00671,0,0,0,0
180,CHULETA CENTRO REBANADO FRA,6.97,70,00253,0,0,0,0
181,MONDONGO DE RES ESPECIAL,4.99,70,00980,0,0,0,0
182,CARNE MOLIDA ESPECIAL,8.54,70,00255,0,0,0,0
